activateable,createable,custom,customSetting,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
False,False,False,False,True,False,False,False,False,,Social Post Feed,Social Post Feed,False,False,False,SocialPostFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SocialPostFeed/{ID}'), ('describe', '/services/data/v42.0/sobjects/SocialPostFeed/describe'), ('sobject', '/services/data/v42.0/sobjects/SocialPostFeed')])"
False,False,False,False,False,False,False,False,False,,Social Post History,Social Post History,False,False,False,SocialPostHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SocialPostHistory/{ID}'), ('describe', '/services/data/v42.0/sobjects/SocialPostHistory/describe'), ('sobject', '/services/data/v42.0/sobjects/SocialPostHistory')])"
False,True,False,False,True,False,False,False,False,,Social Post Share,Social Post Share,False,False,False,SocialPostShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SocialPostShare/{ID}'), ('describe', '/services/data/v42.0/sobjects/SocialPostShare/describe'), ('sobject', '/services/data/v42.0/sobjects/SocialPostShare')])"
False,True,False,False,False,False,False,False,False,501,Solution,Solutions,True,False,True,Solution,True,True,True,True,True,False,False,"OrderedDict([('compactLayouts', '/services/data/v42.0/sobjects/Solution/describe/compactLayouts'), ('rowTemplate', '/services/data/v42.0/sobjects/Solution/{ID}'), ('approvalLayouts', '/services/data/v42.0/sobjects/Solution/describe/approvalLayouts'), ('describe', '/services/data/v42.0/sobjects/Solution/describe'), ('layouts', '/services/data/v42.0/sobjects/Solution/describe/layouts'), ('sobject', '/services/data/v42.0/sobjects/Solution')])"
False,False,False,False,True,False,False,False,False,,Solution Feed,Solution Feed,False,False,False,SolutionFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SolutionFeed/{ID}'), ('describe', '/services/data/v42.0/sobjects/SolutionFeed/describe'), ('sobject', '/services/data/v42.0/sobjects/SolutionFeed')])"
False,False,False,False,False,False,False,False,False,,Solution History,Solution History,False,False,False,SolutionHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SolutionHistory/{ID}'), ('describe', '/services/data/v42.0/sobjects/SolutionHistory/describe'), ('sobject', '/services/data/v42.0/sobjects/SolutionHistory')])"
False,False,False,False,False,False,False,False,False,,Solution Status Value,Solution Status Value,False,False,False,SolutionStatus,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/SolutionStatus/{ID}'), ('describe', '/services/data/v42.0/sobjects/SolutionStatus/describe'), ('sobject', '/services/data/v42.0/sobjects/SolutionStatus')])"
False,False,False,False,False,False,False,False,False,1ST,Stamp,Stamps,False,False,False,Stamp,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/Stamp/{ID}'), ('describe', '/services/data/v42.0/sobjects/Stamp/describe'), ('sobject', '/services/data/v42.0/sobjects/Stamp')])"
False,False,False,False,False,False,False,False,False,1SA,Stamp Assignment,Stamp Assignments,False,False,False,StampAssignment,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/StampAssignment/{ID}'), ('describe', '/services/data/v42.0/sobjects/StampAssignment/describe'), ('sobject', '/services/data/v42.0/sobjects/StampAssignment')])"
False,False,False,False,False,False,False,False,False,081,Static Resource,Static Resources,False,False,True,StaticResource,True,True,True,True,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v42.0/sobjects/StaticResource/{ID}'), ('describe', '/services/data/v42.0/sobjects/StaticResource/describe'), ('sobject', '/services/data/v42.0/sobjects/StaticResource')])"
