Number of Redo
16
pos TB_RCK_1,pos MTP_1,VolumeInPlate,VolumeFromTube
RPL220225NS,9094113_6_AAD_1_4_1
1,2,90,120
2,5,90,120
3,9,90,120
4,11,90,120
5,18,90,120
6,33,90,120
7,161,90,120
8,193,90,120
9,209,90,120
10,229,90,120
11,242,90,120
12,243,90,120
13,258,90,120
14,274,90,120
15,289,90,120
16,290,90,120
