Number of Redo
19
pos TB_RCK_1,pos MTP_1,VolumeInPlate,VolumeFromTube
RPL220225NV,9094095_6_AAF_1_4_1
1,129,90,120
2,161,90,120
3,177,90,120
4,225,90,120
5,241,90,120
6,257,90,120
7,2,90,120
8,242,90,120
9,322,90,120
10,3,90,120
11,211,90,120
12,227,90,120
13,228,90,120
14,244,90,120
15,230,90,120
16,231,90,120
17,247,90,120
18,264,90,120
19,331,90,120
