         20475167 function calls (20447362 primitive calls) in 12.383 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      199    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
     7048    0.003    0.000    0.006    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(_Instruction)
        1    0.000    0.000    0.000    0.000 <string>:5(_Version)
        1    0.000    0.000    0.000    0.000 <string>:5(manifest_mod)
        1    0.000    0.000    0.000    0.000 <string>:5(uname_result)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000   12.386   12.386 AssuranceScientific.py:1(<module>)
        1    0.000    0.000    0.036    0.036 AssuranceScientific.py:21(<listcomp>)
        1    0.000    0.000    0.006    0.006 AssuranceScientific.py:25(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:26(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:27(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:28(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:29(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:30(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:31(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:32(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:33(<listcomp>)
        1    0.000    0.000    0.000    0.000 AssuranceScientific.py:34(<listcomp>)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:78(_Feature)
        9    0.000    0.000    0.000    0.000 __future__.py:79(__init__)
       14    0.000    0.000    0.491    0.035 __init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1(SmoothieDriver)
        1    0.000    0.000    0.002    0.002 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
       58    0.000    0.000    0.000    0.000 __init__.py:1002(_added_new)
        1    0.000    0.000    0.000    0.000 __init__.py:1008(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1012(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:102(_SetuptoolsVersionMixin)
        1    0.000    0.000    0.000    0.000 __init__.py:1020(_ReqExtras)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(Environment)
        1    0.000    0.000    0.000    0.000 __init__.py:1054(_open)
        1    0.000    0.000    0.000    0.000 __init__.py:1077(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1083(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1101(PlaceHolder)
        7    0.000    0.000    0.000    0.000 __init__.py:1107(__init__)
       16    0.000    0.000    0.000    0.000 __init__.py:1113(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1143(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1148(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1159(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1185(ExtractionError)
   197565    0.079    0.000    0.111    0.000 __init__.py:120(getLevelName)
        1    0.000    0.000    0.000    0.000 __init__.py:1201(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1210(_fixupParents)
        3    0.000    0.000    0.000    0.000 __init__.py:1218(resource_filename)
        4    0.000    0.000    0.026    0.006 __init__.py:123(get_driver)
        1    0.000    0.000    0.000    0.000 __init__.py:1234(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1251(Logger)
        9    0.000    0.000    0.000    0.000 __init__.py:1266(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(setLevel)
   197565    0.249    0.000    4.327    0.000 __init__.py:1284(debug)
        4    0.000    0.000    0.001    0.000 __init__.py:134(get_version)
   197565    0.332    0.000    0.673    0.000 __init__.py:1374(findCaller)
      116    0.000    0.000    0.001    0.000 __init__.py:1391(safe_name)
      126    0.000    0.000    0.003    0.000 __init__.py:1399(safe_version)
   197565    0.165    0.000    2.514    0.000 __init__.py:1404(makeRecord)
   197565    0.254    0.000    3.858    0.000 __init__.py:1419(_log)
   197565    0.157    0.000    0.417    0.000 __init__.py:1444(handle)
        1    0.000    0.000    0.000    0.000 __init__.py:1454(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1457(NullProvider)
        3    0.000    0.000    0.000    0.000 __init__.py:1464(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1468(get_resource_filename)
       70    0.000    0.000    0.001    0.000 __init__.py:1480(has_metadata)
       13    0.000    0.000    0.000    0.000 __init__.py:1483(get_metadata)
       13    0.000    0.000    0.000    0.000 __init__.py:1489(get_metadata_lines)
   197565    0.191    0.000    0.191    0.000 __init__.py:1498(callHandlers)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
