,0
opentrons_96_tiprack_10ul,0.171
opentrons_96_tiprack_20ul,0.488
opentrons_96_tiprack_300ul,0.99
opentrons_96_tiprack_1000ul,0.117
opentrons_96_filtertiprack_10ul,0.06
opentrons_96_filtertiprack_20ul,0.544
opentrons_96_filtertiprack_200ul,0.598
opentrons_96_filtertiprack_1000ul,0.06
